_id|_labels|CENTROID|CFS_AREA|DESCRIPTION|FULL_GEOID|INTPTLAT|INTPTLON|MA|NAME|STATE|STUSPS|_start|_end|_type
41|:MetroArea|{"crs":"wgs-84","latitude":35.41920301388205,"longitude":-78.8796273780312,"height":null}|37-99999|Remainder of North Carolina, North Carolina|E330000US3799999999|+34.6392096|-079.1008811|99999|North Carolina|37|NC|||
42|:MetroArea|{"crs":"wgs-84","latitude":29.750317589844133,"longitude":-95.54005990214185,"height":null}|48-288|Houston-The Woodlands, TX CFS Area; Texas|E330000US4828800000|+29.5266017|-095.7710149|288|Texas|48|TX|||
43|:MetroArea|{"crs":"wgs-84","latitude":47.49304002801325,"longitude":-122.17326057957945,"height":null}|53-500|Seattle-Tacoma, WA CFS Area; Washington|E330000US5350000000|+46.5800714|-122.3774443|500|Washington|53|WA|||
44|:MetroArea|{"crs":"wgs-84","latitude":30.571050048180474,"longitude":-91.13278403168285,"height":null}|22-12940|Baton Rouge, LA CFS Area; Louisiana|E330000US2299912940|+30.8397837|-091.0434338|12940|Louisiana|22|LA|||
45|:MetroArea|{"crs":"wgs-84","latitude":42.9563929496122,"longitude":-73.89980787676723,"height":null}|36-104|Albany-Schenectady, NY CFS Area; New York|E330000US3610400000|+43.1061353|-073.8553872|104|New York|36|NY|||
46|:MetroArea|{"crs":"wgs-84","latitude":34.72879522825421,"longitude":-111.59742562057907,"height":null}|04-99999|Remainder of Arizona, Arizona|E330000US0499999999|+32.7739424|-113.9109050|99999|Arizona|04|AZ|||
47|:MetroArea|{"crs":"wgs-84","latitude":45.01647151097185,"longitude":-122.7499616232039,"height":null}|41-440|Portland-Vancouver-Salem, OR-WA CFS Area (OR Part); Oregon|E330000US4144000000|+45.1604934|-122.1951274|440|Oregon|41|OR|||
48|:MetroArea|{"crs":"wgs-84","latitude":35.4021628599311,"longitude":-97.4349026666832,"height":null}|40-416|Oklahoma City-Shawnee, OK CFS Area; Oklahoma|E330000US4041600000|+35.5434100|-097.9798435|416|Oklahoma|40|OK|||
49|:MetroArea|{"crs":"wgs-84","latitude":34.89977268149732,"longitude":-92.43923724803886,"height":null}|05-99999|Remainder of Arkansas, Arkansas|E330000US0599999999|+35.8570169|-092.1405080|99999|Arkansas|05|AR|||
50|:MetroArea|{"crs":"wgs-84","latitude":31.731233739187722,"longitude":-99.78879992005355,"height":null}|48-99999|Remainder of Texas, Texas|E330000US4899999999|+30.8843921|-099.8539616|99999|Texas|48|TX|||
51|:MetroArea|{"crs":"wgs-84","latitude":28.7029767386201,"longitude":-83.12784531415367,"height":null}|12-99999|Remainder of Florida, Florida|E330000US1299999999|+30.1403575|-084.3751122|99999|Florida|12|FL|||
52|:MetroArea|{"crs":"wgs-84","latitude":39.664936359783,"longitude":-86.39915861666456,"height":null}|18-99999|Remainder of Indiana, Indiana|E330000US1899999999|+38.9405270|-084.9642994|99999|Indiana|18|IN|||
53|:MetroArea|{"crs":"wgs-84","latitude":41.59463889985864,"longitude":-71.52472355371209,"height":null}|44-148|Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (RI Part); Rhode Island|E330000US4414800000|+41.4009815|-071.6175979|148|Rhode Island|44|RI|||
54|:MetroArea|{"crs":"wgs-84","latitude":35.264287600583785,"longitude":-89.68980154682286,"height":null}|47-368|Memphis-Forrest City, TN-MS-AR CFS Area (TN Part); Tennessee|E330000US4736800000|+35.1837942|-089.8953970|368|Tennessee|47|TN|||
55|:MetroArea|{"crs":"wgs-84","latitude":41.02772173764917,"longitude":-77.84231300372443,"height":null}|42-99999|Remainder of Pennsylvania, Pennsylvania|E330000US4299999999|+41.5133040|-079.2497050|99999|Pennsylvania|42|PA|||
56|:MetroArea|{"crs":"wgs-84","latitude":38.91070523088615,"longitude":-121.05468360198165,"height":null}|06-472|Sacramento-Roseville, CA CFS Area; California|E330000US0647200000|+38.4500161|-121.3404408|472|California|06|CA|||
57|:MetroArea|{"crs":"wgs-84","latitude":40.54100614870196,"longitude":-74.47199360283219,"height":null}|34-408|New York-Newark, NY-NJ-CT-PA CFS Area (NJ Part); New Jersey|E330000US3440800000|+41.1374609|-074.6919141|408|New Jersey|34|NJ|||
58|:MetroArea|{"crs":"wgs-84","latitude":47.033421105645346,"longitude":-109.6452069259742,"height":null}|30-99999|Remainder of Montana, Montana|E330000US3099999999|+46.5052807|-108.4397631|99999|Montana|30|MT|||
59|:MetroArea|{"crs":"wgs-84","latitude":43.82446252570015,"longitude":-120.374069247487,"height":null}|41-99999|Remainder of Oregon, Oregon|E330000US4199999999|+45.5937530|-117.1855796|99999|Oregon|41|OR|||
